39,7,155,7,155,62,39,62,TÔM
166,36,190,36,190,49,166,49,-
201,16,305,16,305,63,201,63,CUA
318,37,338,37,338,52,318,52,-
352,12,472,12,472,74,352,74,MỰC
482,32,503,32,503,53,482,53,-
517,11,632,11,632,72,517,72,GHẸ
644,33,665,33,665,52,644,52,-
681,3,758,3,758,61,681,61,BỀ
773,5,845,5,845,64,773,64,BỀ
135,70,205,70,205,127,135,127,ỐC
220,78,393,78,393,131,220,131,HƯƠNG
407,106,425,106,425,119,407,119,-
440,73,513,73,513,129,440,129,ỐC
528,78,607,78,607,132,528,132,TÙ
620,76,690,76,690,128,620,128,VÀ
