145,166,236,166,236,202,145,202,VÒNG
246,155,363,155,363,192,246,192,CHUNG
370,139,437,139,437,181,370,181,KẾT
14,225,65,225,65,275,14,275,GIẢI
73,220,153,220,153,270,73,270,BÓNG
161,214,206,214,206,264,161,264,ĐÁ
215,195,315,195,315,262,215,262,U.19
323,192,429,192,429,257,323,257,QUỐC
439,199,503,199,503,248,439,248,GIA
510,179,639,179,639,240,510,240,2018
23,297,51,297,51,320,23,320,SVĐ
55,297,78,297,78,320,55,320,TỰ
78,292,111,292,111,321,78,321,DO,
112,291,170,291,170,317,112,317,THÀNH
175,283,215,283,215,315,175,315,PHỐ
220,279,253,279,253,315,220,315,HUẾ
257,292,266,292,266,305,257,305,-
269,283,295,283,295,311,269,311,TỪ
296,279,346,279,346,310,296,310,NGÀY
352,270,415,270,415,306,352,306,06/3
420,271,461,271,461,301,420,301,ĐẾN
465,263,615,263,615,297,465,297,15/3/2018
