62,195,94,195,94,211,62,211,ĐẢNG
96,192,109,192,109,212,96,212,BỘ
53,215,82,215,82,230,53,230,QUÂN
84,215,99,215,99,229,84,229,VÀ
101,213,124,213,124,226,101,226,DÂN
59,234,94,234,94,249,59,249,THÀNH
97,231,120,231,120,249,97,249,PHỐ
72,254,92,254,92,268,72,268,TAM
95,253,109,253,109,269,95,269,KỲ
62,272,96,272,96,289,62,289,QUYẾT
98,271,121,271,121,289,98,289,TÂM
54,294,83,294,83,310,54,310,THỰC
85,294,110,294,110,310,85,310,HIỆN
113,292,131,292,131,310,113,310,TỐT
67,313,89,313,89,330,67,330,NẾP
92,312,122,312,122,331,92,331,SỐNG
68,335,91,335,91,351,68,351,VĂN
94,334,123,334,123,353,94,353,MINH
77,356,92,356,92,373,77,373,ĐÔ
96,355,118,355,118,375,96,375,THỊ!
