70,11,145,11,145,40,70,40,NƯỚC
150,11,225,11,225,45,150,45,CỘNG
229,6,285,6,285,44,229,44,HÒA
289,9,327,9,327,40,289,40,XÃ
331,10,380,10,380,41,331,41,HỘI
383,7,439,7,439,38,383,38,CHỦ
440,5,525,5,525,36,440,36,NGHĨA
528,5,591,5,591,40,528,40,VIỆT
595,9,654,9,654,35,595,35,NAM
659,2,739,2,739,33,659,33,MUÔN
744,1,808,1,808,32,744,32,NĂM
267,73,296,73,296,95,267,95,ỦY
300,77,343,77,343,95,300,95,BAN
348,75,406,75,406,95,348,95,NHÂN
411,73,452,73,452,94,411,94,DÂN
457,74,516,74,516,97,457,97,QUẬN
520,75,548,75,548,94,520,94,BA
552,71,605,71,605,94,552,94,ĐÌNH
