11,53,107,53,107,106,11,106,CỬA
113,53,239,53,239,104,113,104,HÀNG
274,5,496,5,496,102,274,102,CÔNG
515,1,737,1,737,100,515,100,BẰNG
295,134,338,134,338,161,295,161,171
344,132,415,132,415,163,344,163,BẠCH
421,126,496,126,496,160,421,160,ĐẰNG
499,141,511,141,511,153,499,153,-
515,133,542,133,542,158,515,158,P.
543,133,563,133,563,159,543,159,2
563,143,575,143,575,154,563,154,-
582,133,612,133,612,165,582,165,Q.
615,133,667,133,667,161,615,161,TÂN
672,133,739,133,739,161,672,161,BÌNH
291,165,342,165,342,193,291,193,DĐ:
346,165,407,165,407,192,346,192,0909
408,167,456,167,456,190,408,190,081
457,164,505,164,505,191,457,191,751
