165,131,324,149,317,208,158,190,TRƯỜNG
423,163,491,163,491,227,423,227,HỌC
534,180,572,180,572,234,534,234,SỞ
652,194,713,194,713,249,652,249,ĐIỀM
319,156,426,156,426,216,319,216,TRUNG
489,180,533,180,533,228,489,228,CƠ
571,183,651,183,651,246,571,246,DƯỠNG
107,105,166,105,166,132,107,132,PHÒNG
168,112,202,112,202,139,168,139,GIÁO
202,117,232,117,232,144,202,144,DỤC
231,120,250,120,250,145,231,145,VÀ
247,123,277,123,277,149,247,149,ĐÀO
278,128,302,128,302,156,278,156,TẠO
302,131,339,131,339,160,302,160,CHÂU
338,137,386,137,386,167,338,167,THÀNH
