108,47,161,47,161,116,108,116,SỞ
166,65,194,65,194,114,166,114,Y
199,56,244,56,244,119,199,119,TẾ
247,58,324,58,324,124,247,124,TỈNH
331,78,417,78,417,131,331,131,NINH
427,73,509,73,509,133,427,133,BÌNH
99,140,188,140,188,249,99,249,QUẦY
194,142,301,142,301,249,194,249,THUỐC
309,161,368,161,368,252,309,252,ĐÀO
376,169,433,169,433,269,376,269,THỊ
437,161,511,161,511,257,437,257,HOÀI
96,274,171,274,171,387,96,387,BÁN
175,258,217,258,217,392,175,392,LẺ
224,266,326,266,326,392,224,392,THUỐC
333,274,415,274,415,393,333,393,CHỮA
423,285,505,285,505,413,423,413,BỆNH
