114,20,204,20,204,51,114,51,CHUYÊN
207,18,251,18,251,49,207,49,BÁN
256,15,289,15,289,47,256,47,VÀ
292,17,343,17,343,44,292,44,CHO
347,11,404,11,404,43,347,43,THUÊ
405,11,434,11,434,43,405,43,XE
439,8,503,8,503,39,439,39,NÂNG
510,2,586,2,586,37,510,37,NGƯỜI
113,63,138,63,138,82,113,82,KHU
139,62,187,62,187,84,139,84,THƯỢNG
189,62,201,62,201,83,189,83,P.
200,61,237,61,237,79,200,79,KHẮC
235,59,265,59,265,80,235,80,NIỆM
268,57,284,57,284,81,268,81,TP.
284,56,313,56,313,78,284,78,BẮC
311,56,344,56,344,75,311,75,NINH
361,50,466,50,466,74,361,74,0845 099 222
479,45,588,45,588,66,479,66,0942 166 699
469,56,476,56,476,64,469,64,-
