43,9,125,9,125,49,43,49,SƠN
131,3,261,3,261,47,131,47,CHỐNG
269,3,387,3,387,44,269,44,THẤM
395,1,479,1,479,43,395,43,CAO
485,0,569,0,569,38,485,38,CÂP
575,1,687,1,687,40,575,40,KOVA
100,58,202,58,202,100,100,100,GẠCH
209,53,317,53,317,96,209,96,BÓNG
323,50,420,50,420,96,323,96,KÍNH
427,49,536,49,536,93,427,93,TOÀN
541,45,656,45,656,93,541,93,PHẦN
122,103,230,103,230,148,122,148,THIẾT
235,106,278,106,278,153,235,153,BỊ
283,101,339,101,339,148,283,148,VỆ
342,104,439,104,439,144,342,144,SINH
443,104,529,104,529,143,443,143,CAO
536,95,617,95,617,146,536,146,CẤP
